Event Name,Link for Event,name,url
Detroit Red Wings vs. Winnipeg Jets,https://www.ticketmaster.com/detroit-red-wings-vs-winnipeg-jets-detroit-michigan-10-30-2024/event/080060E2A5FD25A4,,
V-U2 An Immersive Concert Film at Sphere Las Vegas,https://www.ticketmaster.com/vu2-an-immersive-concert-film-at-las-vegas-nevada-10-30-2024/event/17006111BF6B2009,,
Washington Wizards vs. Atlanta Hawks,https://www.ticketmaster.com/washington-wizards-vs-atlanta-hawks-washington-district-of-columbia-10-30-2024/event/1500610EEB6A4F1C,,
Charlotte Hornets vs. Toronto Raptors,https://www.ticketmaster.com/charlotte-hornets-vs-toronto-raptors-charlotte-north-carolina-10-30-2024/event/2D0060EF059E9368,,
Harry Potter and the Cursed Child,https://www.ticketmaster.com/event/Z7r9jZ1A7FYfV,,
Harry Potter and the Cursed Child,https://www.ticketmaster.com/event/Z7r9jZ1A7FYfS,,
Suite: Wizards vs Hawks,https://fevo-enterprise.com/event/2024257320240903-112223013,,
Hamilton (NY),https://www.ticketmaster.com/hamilton-ny-new-york-new-york-10-30-2024/event/Z1r9uZrrZbpZ170F4e,,
The The,https://www.ticketmaster.com/event/Z7r9jZ1A71bGo,,
Hamilton,https://www.ticketmaster.com/event/Z7r9jZ1A71bvs,,
Hamilton (Touring),https://www.ticketmaster.com/event/Z7r9jZ1A7AyQA,,
Hamilton,https://www.ticketmaster.com/event/Z7r9jZ1A7aP7z,,
Miami Heat vs. New York Knicks,https://www.ticketmaster.com/miami-heat-vs-new-york-knicks-miami-florida-10-30-2024/event/0D00610ED13A41BE,,
Chicago Bulls vs. Orlando Magic,https://www.ticketmaster.com/chicago-bulls-vs-orlando-magic-chicago-illinois-10-30-2024/event/04006110BBF64694,,
LA Clippers vs. Portland Trail Blazers,https://www.ticketmaster.com/la-clippers-vs-portland-trail-blazers-inglewood-california-10-30-2024/event/0900610D34D46BED,,
Philadelphia 76ers vs. Detroit Pistons,https://www.ticketmaster.com/philadelphia-76ers-vs-detroit-pistons-philadelphia-pennsylvania-10-30-2024/event/3000610ED89B4A70,,
Indiana Pacers vs. Boston Celtics,https://www.ticketmaster.com/indiana-pacers-vs-boston-celtics-indianapolis-indiana-10-30-2024/event/0500610EE0C13A23,,
Cleveland Cavaliers vs. Los Angeles Lakers,https://www.ticketmaster.com/event/Z7r9jZ1A7C3rf,,
Columbus Blue Jackets Vs. New York Islanders,https://www.ticketmaster.com/columbus-blue-jackets-vs-new-york-columbus-ohio-10-30-2024/event/050060DCC7BA7A52,,
ZAYN: Stairway To The Sky Tour,https://www.ticketmaster.com/zayn-stairway-to-the-sky-tour-washington-district-of-columbia-10-30-2024/event/1500612A89291AC5,,
,,CANCELED - The Black Keys: International Players Tour,https://donyc.com/events/2024/10/30/the-black-keys-international-players-tour-tickets
,,Beach Fossils' 8th Annual Halloween Bash!,https://donyc.com/events/2024/10/30/beach-fossils-8th-annual-halloween-bash-tickets
,,"Leon Bridges, Hermanos Gutiérrez",https://donyc.com/events/2024/10/30/leon-bridges-hermanos-gutierrez-tickets
,,Catfish and the Bottlemen,https://donyc.com/events/2024/10/30/catfish-and-the-bottlemen-tickets
,,Robyn Hitchcock with Imogen Clark,https://donyc.com/events/2024/10/30/robyn-hitchcock-with-imogen-clark-tickets
,,"South Park Halloween Special: Bushwick's Dead Plays South Park Tunes, w/ Full band, guests, costumes & more!",https://donyc.com/events/2024/10/30/south-park-halloween-special-bushwick-s-dead-plays-south-park-tunes-w-full-band-guests-costumes-more-tickets
,,"Robert Glasper, Chris Dave, Derrick Hodge, Stefon Harris, and Many More!",https://donyc.com/events/2024/10/30/robert-glasper-chris-dave-derrick-hodge-stefon-harris-and-many-more-tickets
,,Cassandra Jenkins,https://donyc.com/events/2024/10/30/cassandra-jenkins-tickets
,,Cyndi Lauper: Girls Just Wanna Have Fun Farewell Tour,https://donyc.com/events/2024/10/30/cyndi-lauper-girls-just-wanna-have-fun-farewell-tour-tickets
,,Chicago,https://donyc.com/events/2024/10/30/chicago-tickets
,,The Music of The Allman Brothers Band,https://donyc.com/events/2024/10/30/the-music-of-the-allman-brothers-band-tickets
,,The Cafe Wha? House Band,https://donyc.com/events/2024/10/30/the-cafe-wha-house-band-tickets
,,The Cafe Wha? House Band,https://donyc.com/events/2024/10/30/the-cafe-wha-house-band-tickets-qej3vnj
,,"Jordan Rakei, Katie Tupper",https://donyc.com/events/2024/10/30/jordan-rakei-katie-tupper-tickets
,,The String Cheese Incident with special guests Stolen Gin,https://donyc.com/events/2024/10/30/the-string-cheese-incident-with-special-guests-stolen-gin-tickets
,,Four Year Strong,https://donyc.com/events/2024/10/30/four-year-strong-tickets
,,Jean Dawson - Glimmer of God,https://donyc.com/events/2024/10/30/jean-dawson-glimmer-of-god-tickets
,,"Allegra Krieger, Greg Mendez",https://donyc.com/events/2024/10/30/allegra-krieger-greg-mendez-tickets
,,Let's Dance!,https://donyc.com/events/2024/10/30/disney-on-ice-2024-tickets
,,Dawn Richard & Spencer Zahn,https://donyc.com/events/2024/10/30/dawn-richard-spencer-zahn-tickets
,,Richard Lloyd (of Television) Group  Short Porch  Kristin Flammio + The Pretty Bitchin,https://donyc.com/events/2024/10/30/richard-lloyd-of-television-group-short-porch-kristin-flammio-the-pretty-bitchin-tickets
,,Tiago PZK,https://donyc.com/events/2024/10/30/tiago-pzk-tickets
